"","edf","Ref.df","F","p-value"
"s(logq)",2.91064351365539,2.99201273634687,2842.52480965497,0
"s(ppt..mm.)",1.00004815684999,1.00009614063209,3.17791487282122,0.0750220602804686
"s(tmean..degrees.C.)",2.45787063325667,2.80331199842373,9.23917998716524,1.30077243223337e-05
"s(Month):Group0",6.13518836867481,7.37054886631708,41.0378825822762,0
"s(Month):Group1",8.04197215696101,8.68119601249777,9.72708492739072,0
